id,0,1,2,3,4,5
1843,0,0,15,0,18,1
1727,0,0,29,0,41,12
31,0,0,2,0,4,10
23,0,0,4,0,22,1
788,0,1,11,0,19,63
1720,0,0,0,0,7,5
2571,0,0,1,0,5,39
641,0,0,0,0,11,19
59,0,0,9,0,57,4
1244,0,0,1,0,82,117
1247,0,0,23,0,25,22
1077,0,5,13,0,19,44
436,0,0,5,0,18,1
1383,0,3,25,0,25,22
376,0,2,3,0,29,37
515,0,6,23,0,11,0
2371,0,1,77,0,21,35
1001,0,16,39,0,29,2
431,0,2,2,0,4,13
6,0,2,16,0,44,27
579,0,0,1,0,6,3
338,0,6,67,0,9,1
882,0,1,0,0,7,3
942,0,2,14,0,14,14
572,4,11,2,0,47,38
452,0,19,13,0,16,3
453,0,25,18,0,9,0
319,0,0,18,0,25,46
2049,0,0,1,0,8,7
3269,0,0,13,0,6,23
258,0,0,26,0,63,15
259,0,0,5,0,31,7
64,0,0,16,0,46,80
3299,0,1,0,0,7,5
179,0,0,0,0,32,5
177,0,0,2,0,5,13
69,0,1,18,0,17,12
3290,0,0,6,0,4,21
886,0,0,9,0,15,0
2051,0,4,29,0,16,5
2118,0,0,27,0,74,9
1425,0,4,10,0,9,3
972,0,0,7,0,35,3
1427,0,0,1,0,35,14
2056,0,0,0,0,5,10
743,0,0,5,0,63,2
656,0,0,3,0,9,5
654,0,2,11,0,61,15
356,0,0,0,0,10,9
650,0,0,3,0,33,4
509,0,2,4,0,2,1
1032,0,1,32,0,36,2
2150,0,0,3,0,4,4
1030,0,0,0,0,23,8
505,0,13,27,0,3,0
2680,0,0,1,0,18,1
503,0,1,3,0,16,14
402,0,0,5,0,12,4
1879,0,0,27,0,36,19
569,0,1,13,0,24,0
751,0,0,16,0,21,4
468,0,0,3,0,31,50
755,0,9,5,0,6,0
637,0,0,2,0,12,47
2421,0,0,1,0,94,14
1351,0,0,15,0,33,38
1219,0,0,9,0,35,9
1849,0,0,0,0,8,8
463,0,0,8,0,28,9
99,0,0,12,0,6,2
1396,0,3,30,0,22,3
1865,0,0,5,0,7,6
229,0,0,20,0,5,5
164,0,0,0,0,6,11
165,0,1,0,0,62,30
166,0,0,1,0,7,6
167,0,0,0,0,5,5
95,0,0,20,0,42,1
97,1,5,10,0,17,9
220,0,0,1,0,31,12
11,0,0,21,0,38,8
965,0,0,7,0,22,7
274,0,0,5,0,5,7
1026,0,0,23,0,29,13
960,0,0,2,0,7,45
1360,0,4,29,0,18,9
16,0,0,7,0,28,4
3445,0,0,17,0,6,10
401,0,0,14,0,79,21
1029,0,0,2,0,45,8
1028,0,4,38,0,9,16
358,0,0,3,0,17,7
2064,0,3,25,0,6,5
724,0,0,6,0,7,1
2021,0,0,0,0,19,9
2696,0,0,0,0,12,21
817,0,0,0,0,14,7
2107,0,0,7,0,10,3
2029,0,1,9,0,17,10
2105,0,0,2,0,2,5
110,0,0,15,0,39,18
741,0,0,1,0,24,15
152,0,0,1,0,4,10
154,0,1,2,0,9,15
2866,0,0,0,0,20,4
1962,0,1,7,0,5,0
37,0,0,12,0,24,12
2637,0,0,1,0,45,9
609,0,0,13,0,11,4
2436,0,2,25,0,24,4
239,0,0,1,0,7,32
3537,0,0,5,0,45,2
234,0,0,1,0,12,10
621,0,0,0,0,5,4
2944,0,0,14,0,12,19
1814,0,0,15,0,12,4
1051,0,10,34,0,12,4
1052,0,0,1,0,42,20
2132,0,0,4,0,16,13
636,0,0,3,0,7,7
518,0,0,2,0,10,4
47,0,1,11,0,21,6
44,0,0,2,0,6,31
2225,0,0,0,0,4,14
1612,0,0,9,0,12,14
3347,0,5,23,0,39,25
957,0,2,9,0,8,2
1196,0,0,1,0,24,30
1,0,3,9,0,10,3
2001,0,0,10,0,3,5
2033,0,0,11,0,37,14
1690,0,0,3,0,9,9
9,0,0,5,0,21,9
1561,0,0,1,0,11,19
12,0,1,15,0,13,3
3192,0,11,3,0,14,15
2502,0,1,4,0,1,13
2500,0,0,0,0,40,38
