id,left_0,left_1,left_2,left_3,left_4,left_5,right_0,right_1,right_2,right_3,right_4,right_5,direct_0,direct_1,direct_2,direct_3,direct_4,direct_5
2047,0,0,0,0,0,3,0,0,0,0,7,3,0,0,3,0,5,4
367,0,0,0,0,0,0,0,0,1,0,1,2,0,0,12,0,14,10
364,0,0,0,0,4,16,0,0,0,0,0,1,0,0,5,0,38,25
422,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,25,5
1392,0,0,0,0,2,4,0,0,0,0,3,8,0,0,3,0,21,11
1258,0,0,30,0,0,1,0,0,3,0,56,11,0,0,31,0,14,5
411,0,0,0,0,2,1,0,0,1,0,12,3,0,0,4,0,44,9
3214,0,0,0,0,0,10,0,0,0,0,10,1,0,0,5,0,25,3
584,0,0,0,0,2,0,0,0,0,0,1,7,0,0,1,0,7,5
3583,0,0,1,0,1,1,0,4,16,0,3,2,0,1,12,0,21,4
3584,0,0,0,0,7,7,0,0,1,0,2,2,0,0,0,0,6,11
2259,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,2,0
3586,0,0,0,0,3,1,0,0,2,0,6,8,0,0,0,0,40,19
581,0,0,0,0,1,1,0,0,4,0,18,22,0,0,12,0,46,15
1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2
1137,0,0,0,0,0,2,0,0,13,0,21,5,0,0,2,0,21,5
446,0,0,1,0,0,1,0,1,0,0,0,1,0,1,5,0,0,0
1332,0,0,1,0,1,5,0,0,2,0,10,0,0,1,1,0,44,9
380,0,0,0,0,0,0,0,0,5,0,2,1,0,0,4,0,12,3
1937,0,0,0,0,7,4,0,0,2,0,6,1,0,0,1,0,5,1
387,0,0,15,0,2,1,0,1,3,0,11,6,0,0,53,0,41,15
388,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4
2830,0,3,4,0,1,7,0,0,0,0,2,1,0,4,4,0,1,0
784,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,25,9
785,0,0,0,0,1,13,0,0,1,0,21,10,0,0,2,0,54,54
1647,0,0,0,0,0,0,0,0,1,0,7,38,0,0,3,0,8,13
295,0,0,0,0,0,1,0,0,1,0,1,2,0,0,14,0,2,1
1980,0,0,0,0,0,1,0,0,1,0,4,20,0,1,4,0,12,8
841,0,0,0,0,0,1,0,0,2,0,9,1,0,0,6,0,21,20
1843,0,0,2,0,0,0,0,0,0,0,6,0,0,0,13,0,12,1
1727,0,0,2,0,5,0,0,0,1,0,12,5,0,0,26,0,24,7
31,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,4,6
23,0,0,0,0,2,0,0,0,0,0,9,0,0,0,4,0,11,1
788,0,0,3,0,0,9,0,0,0,0,2,29,0,1,8,0,17,25
1720,0,0,0,0,2,1,0,0,0,0,4,2,0,0,0,0,1,2
2571,0,0,0,0,0,1,0,0,0,0,1,10,0,0,1,0,4,28
641,0,0,0,0,1,9,0,0,0,0,1,4,0,0,0,0,9,6
59,0,0,1,0,2,0,0,0,1,0,7,0,0,0,7,0,48,4
1244,0,0,0,0,1,9,0,0,0,0,33,57,0,0,1,0,48,51
1247,0,0,0,0,1,0,0,0,5,0,8,8,0,0,18,0,16,14
1077,0,0,2,0,4,16,0,0,1,0,9,16,0,5,10,0,6,12
436,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,16,1
1383,0,0,0,0,1,6,0,2,13,0,9,3,0,1,12,0,15,13
376,0,0,0,0,1,14,0,1,1,0,16,5,0,1,2,0,12,18
515,0,0,0,0,0,0,0,3,13,0,6,0,0,3,10,0,5,0
2371,0,0,5,0,2,0,0,0,33,0,6,32,0,1,39,0,13,3
1001,0,0,3,0,4,0,0,1,1,0,1,0,0,15,35,0,24,2
431,0,0,0,0,0,2,0,0,0,0,0,5,0,2,2,0,4,6
6,0,0,2,0,0,5,0,0,2,0,6,5,0,2,12,0,38,17
579,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,3
338,0,0,2,0,0,0,0,2,6,0,1,1,0,4,59,0,8,0
882,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,3
942,0,1,1,0,0,3,0,0,1,0,5,9,0,1,12,0,9,2
572,0,1,0,0,7,12,0,0,0,0,7,8,4,10,2,0,33,18
452,0,0,0,0,0,0,0,0,3,0,13,0,0,19,10,0,3,3
453,0,0,0,0,0,0,0,2,1,0,1,0,0,23,17,0,8,0
319,0,0,2,0,1,13,0,0,3,0,2,6,0,0,13,0,22,27
2049,0,0,0,0,2,1,0,0,0,0,5,3,0,0,1,0,1,3
3269,0,0,1,0,0,8,0,0,0,0,0,7,0,0,12,0,6,8
258,0,0,19,0,3,0,0,0,0,0,10,2,0,0,7,0,50,13
259,0,0,0,0,0,3,0,0,2,0,9,2,0,0,3,0,22,2
64,0,0,1,0,3,11,0,0,4,0,11,28,0,0,11,0,32,41
3299,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,3,4
179,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,29,3
177,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,0,2,7
69,0,0,0,0,3,4,0,0,9,0,6,1,0,1,9,0,8,7
3290,0,0,2,0,2,17,0,0,0,0,2,2,0,0,4,0,0,2
886,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,15,0
2051,0,0,1,0,1,3,0,0,0,0,0,0,0,4,28,0,15,2
2118,0,0,0,0,0,6,0,0,12,0,16,0,0,0,15,0,58,3
1425,0,0,0,0,0,0,0,1,3,0,4,3,0,3,7,0,5,0
972,0,0,2,0,1,1,0,0,1,0,9,0,0,0,4,0,25,2
1427,0,0,0,0,0,0,0,0,0,0,22,4,0,0,1,0,13,10
2056,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,3,4
743,0,0,0,0,0,1,0,0,4,0,17,0,0,0,1,0,46,1
656,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,8,4
654,0,0,0,0,1,2,0,1,2,0,20,2,0,1,9,0,40,11
356,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,9,6
650,0,0,0,0,1,0,0,0,0,0,22,3,0,0,3,0,10,1
509,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,0,2,1
1032,0,1,13,0,1,0,0,0,4,0,6,1,0,0,15,0,29,1
2150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,3
1030,0,0,0,0,2,3,0,0,0,0,14,2,0,0,0,0,7,3
505,0,0,0,0,0,0,0,0,3,0,0,0,0,13,24,0,3,0
2680,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,1
503,0,0,3,0,5,6,0,0,0,0,2,1,0,1,0,0,9,7
